nwo,name,description,topics,predicted_naics,naics_description,confidence,readme_preview
Nichster/claude-export-plugin,claude-export-plugin,"RuneLite plugin to export OSRS game data (bank, inventory, equipment, quests, skills) for Claude AI integration via MCP",[],71,"Arts, Entertainment, and Recreation",0.7988172173500061,"# Claude Export Plugin for RuneLite

Export your OSRS account data in formats optimized for Claude AI conversations and MCP integration.

## Why This Plugin?

Unlike generic data exporters, this plugin is **specifically designed for AI/LLM integration**:

- **Claude-Optimized Formats**: Exports include human-readable summaries and metadata that help Claude understand your account
- **One-Click Copy**: Copy your entire account summary formatted for pasting directly into Claude
- **Prompt Generati"
jeremyeder/claude-checkpoint-system,claude-checkpoint-system,Token-efficient checkpoint/restore system for Claude Code using GitHub issues,[],52,Finance and Insurance,0.7987692952156067,"# Claude Checkpoint System

[![CI](https://github.com/jeremyeder/claude-checkpoint-system/actions/workflows/ci.yml/badge.svg)](https://github.com/jeremyeder/claude-checkpoint-system/actions/workflows/ci.yml)

A token-efficient checkpoint/restore system for Claude Code. Choose your complexity level:

- **🚀 Simple Version**: One file, 30-second setup, zero dependencies
- **🏢 Full Version**: GitHub integration, templates, team collaboration

## 🎯 Problem Solved

Claude Code's auto-compaction featur"
balerahul/STL-generator,STL-generator,,[],31-33,Manufacturing,0.7987195253372192,"# STL Grid Generator

A Python package for generating rectangular STL grids with optional centered rectangular holes. Creates zero-thickness surface meshes suitable for CAD/CAM workflows, laser cutting templates, and 3D modeling applications.

## Features

- **Flexible Grid Generation**: Create `nx × ny` grids of rectangular cells
- **Multiple Orientations**: Generate grids aligned to X, Y, or Z planes with configurable normal directions
- **Dual Output**: Each cell produces two STL files:
  - *"
dchrnv/neurograph,neurograph,"""High-performance cognitive computing platform...""","[""ai"", ""async"", ""cognitive-architectures"", ""event-processing"", ""machine-learning"", ""neuroscience"", ""performance"", ""production-ready"", ""pyo3"", ""python3"", ""pytorch"", ""real-time"", ""research"", ""rust"", ""scientific-computing"", ""tokio"", ""websocket""]",54,"Professional, Scientific, Technical Services",0.7986869215965271,"# NeuroGraph

> High-performance cognitive platform with Rust Core, WebSocket API, and Jupyter integration

[![Version](https://img.shields.io/badge/version-1.0.0-brightgreen.svg)](https://github.com/dchrnv/neurograph)
[![Python](https://img.shields.io/badge/python-3.10+-green.svg)](https://www.python.org/)
[![Rust](https://img.shields.io/badge/rust-2021-orange.svg)](https://www.rust-lang.org/)
[![License](https://img.shields.io/badge/license-AGPL--3.0-blue.svg)](LICENSE)

## What is NeuroGraph?"
Omri0202/Smart-Scheduler,Smart-Scheduler,,[],56,Administrative and Support Services,0.7985202670097351,"# 📱 Smart Scheduler Mobile App

## Overview
Smart Scheduler is now a Progressive Web App (PWA) that works like a native mobile app! It features AI-powered event scheduling, Gmail invitations, and smart event naming.

## 🚀 Features
- **Progressive Web App**: Install on any device like a native app
- **AI-Powered Scheduling**: Natural language event creation
- **Smart Event Names**: LLM-generated descriptive event titles
- **Gmail Invitations**: Automatic email invites for attendees
- **Voice Inpu"
ebastyan/CompanyIntel,CompanyIntel,,[],52,Finance and Insurance,0.7984630465507507,"# 📊 CompanyIntel Romania

**Platformă comprehensivă de analiză financiară pentru sectorul gestiunii deșeurilor din România**

Analizează 8,390 companii cu date financiare complete din ultimii 12 ani (2013-2024).

---

## 🚀 Instrumente Active

### 🏆 Top Județe Profit - Analiza TOP 10 pe județ

**Script:** `top_judete_profit.py`
**Output:** `top_judete_profit.html`

**Funcționalități:**
- 📊 TOP 20 NAȚIONAL - Cele mai profitabile companii din România
- 🗺️ TOP 10 per județ (42 județe) - Sortate după"
HeinekenBottle/sheet-music-ocr-processor,sheet-music-ocr-processor,OCR.space-powered sheet music digitization and organization system,[],51,Information,0.7984204292297363,"# Sheet Music Digitization and Organization System

A comprehensive Python-based system for digitizing, organizing, and managing large collections of sheet music using OCR technology and intelligent pattern recognition.

## Overview

This system was designed to process a collection of 1,600+ sheet music arrangements from the 1970s, with support for:
- Multi-piece organization (prevents file overwrites)
- Multi-language recognition (English, German, French, Italian)  
- OCR-based classification b"
ZoneMinder/zoneminder,zoneminder,"ZoneMinder is a free, open source Closed-circuit television software application developed for Linux which supports IP, USB and Analog cameras. ","[""zoneminder"", ""cctv"", ""video"", ""vms"", ""h264"", ""h265"", ""scalable"", ""distributed"", ""zmninja""]",51,Information,0.7983600497245789,"ZoneMinder
==========

[![Join Slack](https://github.com/ozonesecurity/ozonebase/blob/master/img/slacksm.png?raw=true)](https://join.slack.com/t/zoneminder-chat/shared_invite/enQtNTU0NDkxMDM5NDQwLTdhZmQ5Y2M2NWQyN2JkYTBiN2ZkMzIzZGQ0MDliMTRmM2FjZWRlYzUwYTQ2MjMwMTVjMzQ1NjYxOTdmMjE2MTE ""Join Slack"")
<a href=""https://discord.gg/tHYyP9k66q"" title=""Join Discord Server""><img src=""https://assets-global.website-files.com/6257adef93867e50d84d30e2/636e0a6a49cf127bf92de1e2_icon_clyde_blurple_RGB.png"" alt=""dr"
easiest-templates/ai-agency-ru,ai-agency-ru,,[],54,"Professional, Scientific, Technical Services",0.7983361482620239,"# NeuralWorks

![Preview](https://cdn.poehali.dev/templates/ai-agency-ru/cover.jpg)

Профессиональный лендинг для AI-агентства с портфолио проектов. Поддержка тёмной и светлой темы, секции кейсов клиентов, описание услуг и FAQ. Создан для презентации технологических решений и привлечения корпоративных заказчиков.

```
""tags"": [""landing"", ""agency"", ""dark"", ""light"", ""ai"", ""testimonials""]
```
"
eddiguesti/jengu,jengu,dynamic pricing,[],72,Accommodation and Food Services,0.7982903122901917,"# 🎯 Dynamic Pricing Intelligence Platform

**AI-powered revenue optimization for hospitality, travel, and accommodation businesses**

[![React](https://img.shields.io/badge/React-18.3-blue.svg)](https://react.dev)
[![Node.js](https://img.shields.io/badge/Node.js-20+-green.svg)](https://nodejs.org)
[![pnpm](https://img.shields.io/badge/pnpm-10.18-orange.svg)](https://pnpm.io)
[![TypeScript](https://img.shields.io/badge/TypeScript-5.4-blue.svg)](https://typescriptlang.org)
[![License](https://img."
Bspot-api/b-spot,b-spot,"Open-source platform for referencing companies linked to investment funds and influential networks. Built with NestJS, React, and TypeScript.",[],52,Finance and Insurance,0.7982288002967834,"# 🎯 B-Spot Platform

<div align=""center"">

**Mobile-first transparency platform revealing corporate ownership networks through product barcode scanning**

[![License: MIT](https://img.shields.io/badge/License-MIT-yellow.svg)](https://opensource.org/licenses/MIT)
[![Node.js](https://img.shields.io/badge/Node.js-18+-green.svg)](https://nodejs.org/)
[![pnpm](https://img.shields.io/badge/pnpm-8+-orange.svg)](https://pnpm.io/)
[![TypeScript](https://img.shields.io/badge/TypeScript-5.0+-blue.svg)](htt"
ai520510xyf-del/3d-immersive-blog,3d-immersive-blog,基于React Three Fiber的3D沉浸式博客系统,[],51,Information,0.7980970144271851,"# React + Vite

This template provides a minimal setup to get React working in Vite with HMR and some ESLint rules.

Currently, two official plugins are available:

- [@vitejs/plugin-react](https://github.com/vitejs/vite-plugin-react/blob/main/packages/plugin-react) uses [Babel](https://babeljs.io/) (or [oxc](https://oxc.rs) when used in [rolldown-vite](https://vite.dev/guide/rolldown)) for Fast Refresh
- [@vitejs/plugin-react-swc](https://github.com/vitejs/vite-plugin-react/blob/main/packages/p"
jezweb/roo-commander,roo-commander,"Think of it like having a virtual, specialized software development team right inside your editor, orchestrated by the 👑 Roo Commander, powered by Roo Code on VS Code","[""aiagents"", ""roocode""]",54,"Professional, Scientific, Technical Services",0.7980284690856934,"# Roo Commander v9.0.0

> Bridge your Claude Code skills to Roo Code with intelligent orchestration

**Roo Commander** is a three-component system that brings Claude Code's 60+ production-tested skills to Roo Code VS Code extension through a CLI tool, custom instructions, and an orchestrator mode.

---

## 🎯 What It Does

Roo Commander makes your Roo Code AI agent **skill-aware**:

1. **Automatic Skill Discovery** - Before implementing features, checks if relevant skills exist
2. **CLI Integrati"
AustinOrphan/running-app-mvp,running-app-mvp,,[],71,"Arts, Entertainment, and Recreation",0.7980131506919861,"# 🏃‍♂️ Running Tracker MVP

[![CI Pipeline](https://github.com/AustinOrphan/running-app-mvp/workflows/🚀%20CI%20Pipeline/badge.svg)](https://github.com/AustinOrphan/running-app-mvp/actions/workflows/ci.yml)
[![CodeQL](https://github.com/AustinOrphan/running-app-mvp/workflows/CodeQL/badge.svg)](https://github.com/AustinOrphan/running-app-mvp/actions/workflows/codeql.yml)
[![License: MIT](https://img.shields.io/badge/License-MIT-yellow.svg)](https://opensource.org/licenses/MIT)
[![Node.js Version]("
tigerswim/saas-metrics-calculator,saas-metrics-calculator,SaaS metrics calculator,[],54,"Professional, Scientific, Technical Services",0.7979825735092163,"# SaaS Metrics Calculator

An executive intelligence tool for B2B SaaS metrics modeling. Built with Next.js, TypeScript, and Tailwind CSS.

## Features

- **Executive Brief**: Auto-generated narrative summary with key insights
- **Decision-Oriented Layout**: Sections organized around what C-suite needs to act on
- **Real-time Calculations**: All 50+ metrics update instantly as inputs change
- **Pipeline Funnel**: Visual funnel showing MQL → SQL → Opportunity → Deal progression
- **Investment Sig"
nimiq/nimiq-website,nimiq-website,The source code for the Nimiq website. ,"[""nimiq"", ""nuxt""]",51,Information,0.7977649569511414,"<p align=""center"">
  <a href=""https://nimiq.com"" target=""_blank"">
    <picture>
      <source media=""(prefers-color-scheme: dark)"" srcset=""https://raw.githubusercontent.com/nimiq/nimiq-website/HEAD/.github/logo-dark.svg"">
      <source media=""(prefers-color-scheme: light)"" srcset=""https://raw.githubusercontent.com/nimiq/nimiq-website/HEAD/.github/logo-light.svg"">
      <img alt=""Nimiq"" src=""https://raw.githubusercontent.com/nimiq/nimiq-website/HEAD/.github/logo-light.svg"" width=""401"" height=""54"""
timsporcic/song-generator,song-generator,Presentation for creating the prompt to feed into Suno to generate a song,[],51,Information,0.7977557182312012,"# AI Song Generator Quiz

A simple, interactive web application that helps users create prompts for AI-generated songs through a guided quiz format.

## What it does

This quiz walks users through 8 carefully crafted questions to build a comprehensive song prompt that can be used with AI music generation tools. The questions cover:

- **Genre** - Pop, Alternative Rock, Outlaw Country, or Rap
- **Mood** - Emotional tone of the song
- **Subject** - Who or what the song is about
- **Theme** - Centr"
jariy17/typescript-agentcore-example,typescript-agentcore-example,,[],56,Administrative and Support Services,0.797617495059967,"# My Agent Service

A Bedrock Agent Core service built with TypeScript and Express.

## Prerequisites

- Node.js 18+
- npm
- Docker
- AWS CLI configured with appropriate permissions
- The `bedrock-agentcore-0.1.1.tgz` file in the project root directory

## Setup

1. Clone this repository
2. Ensure `bedrock-agentcore-0.1.1.tgz` is in the project root directory
3. Install dependencies:
   ```bash
   npm install
   ```
4. Build the project:
   ```bash
   npm run build
   ```

## Running Locally

##"
clarkezyz/iw-relay,iw-relay,Impossible Writer Relay Code,[],51,Information,0.7976130247116089,"# Impossible Writer Relay

**WebSocket relay server for real-time collaborative editing with Impossible Writer.**

A lightweight, production-ready relay server that enables peer-to-peer collaboration for [Impossible Writer](https://github.com/clarkezyz/impossible-writer). Handles room management, rate limiting, and automatic cleanup with zero data persistence.

---

## Features

### 🏠 **Room-Based Isolation**
Users join named rooms and only see messages from others in the same room. Perfect for "
adamkwhite/job-agent,job-agent,,[],56,Administrative and Support Services,0.797601580619812,"# Job Discovery & Application Automation

An intelligent job discovery and scoring system for robotics/hardware executives with automated email processing, web scraping, and personalized job matching.

## Project Overview

This system automates job discovery for Wesley van Ooyen (robotics/hardware executive) using a 100-point intelligent scoring system (max 110 with bonuses), automated web scraping of 1,092+ robotics jobs weekly, and multi-source email processing. The system filters noise by not"
lrpthomas/Website_REPO,Website_REPO,,[],51,Information,0.7975428700447083,"# Website Repository

## ⚠️ IMPORTANT: READ BEFORE PROCEEDING

**All developers MUST read [PROJECT_OVERVIEW.md](./PROJECT_OVERVIEW.md) before making any changes to this codebase.**

This is a mandatory requirement. The development server will prompt you to confirm you've read the documentation.

## Quick Links

- 📋 **[PROJECT_OVERVIEW.md](./PROJECT_OVERVIEW.md)** - MANDATORY READING
- 🚀 **[WebSite-main/README.md](./WebSite-main/README.md)** - Application documentation
- 👥 **[agent-coordination/R"
blocksys-org/blocksys-app-protocols,blocksys-app-protocols,,[],52,Finance and Insurance,0.7975244522094727,"# BLOCKSYS — Application Protocol Systems

**blocksys-app-protocols** is the application-layer systems engineering extension of Blocksys.

It covers **smart-contract–based protocol systems** as **engineering primitives, invariants, and failure modes**, not products or tutorials.

This repository is intentionally complementary to `blocksys-core` (semantic truth) and `blocksys-nodeops` (operational safety).

---

## Purpose

Modern blockchain applications are no longer ""apps"" in the traditional se"
vrhunski/ortoped,ortoped,,[],54,"Professional, Scientific, Technical Services",0.7974798679351807,"# OrtoPed - AI-Enhanced ORT Scanner

OrtoPed is an intelligent wrapper around the OSS Review Toolkit (ORT) that leverages AI to automatically resolve unidentified software licenses, significantly reducing manual curation effort.

> **The Name:** ""Ortoped"" is a play on words combining **ORT** and **Orthopedist**. Just as an orthopedist fixes broken bones, OrtoPed **fixes ORT scanner license curation**.

## 📚 Documentation

- **[Quick Start Guide](docs/QUICKSTART.md)** - Get started in 5 minutes
-"
hirato201912/sokuchodoku-presentation,sokuchodoku-presentation,,[],71,"Arts, Entertainment, and Recreation",0.7972444295883179,"# 速聴読の効果 - インタラクティブプレゼンテーション

糸島学習塾YESによる「速聴読の効果」についてのインタラクティブなプレゼンテーション資料です。

## 特徴

- **インタラクティブなナビゲーション**: キーボードやマウスで簡単にスライド間を移動
- **プレゼンターモード**: 発表者用のノートを表示可能
- **美しいアニメーション**: スムーズなスライド遷移とコンテンツ表示
- **レスポンシブデザイン**: どのデバイスでも見やすい
- **引用番号の表示**: 科学的根拠を明示

## セットアップ

### 必要な環境

- Node.js 18.x 以降
- npm または yarn

### インストール

```bash
# 依存関係をインストール（既にインストール済み）
npm install

# 開発サーバーを起動
npm run dev
```

ブラウザで [http://localhost:3000](http://localhost:3000) を開いてください。

## 使い方

### キーボード操作

- **→（右矢印）/ Sp"
verlyn13/system-dashboard,system-dashboard,"System Dashboard (Agent C) - Multi-service observability dashboard with SSE, contracts, and MCP integration",[],22,Utilities,0.7969385385513306,
chainflip-io/chainflip-sdk-monorepo,chainflip-sdk-monorepo,,[],52,Finance and Insurance,0.7968964576721191,"# chainflip-sdk
"
daniel-pittman/rubiks-cube-solver,rubiks-cube-solver,"A repository detailing my attempt to ""vibe code"" a graphical Rubik's Cube solver with different LLMs",[],71,"Arts, Entertainment, and Recreation",0.7967612743377686,"# Rubik's Cube Solver

**A Case Study in Human-AI Collaborative Software Development**

![Project Status](https://img.shields.io/badge/Status-Complete-brightgreen)
![Python](https://img.shields.io/badge/Python-3.11+-blue)
![License](https://img.shields.io/badge/License-MIT-yellow)
![Code Quality](https://img.shields.io/badge/Pylint-9.07%2F10-success)
![Tests](https://img.shields.io/badge/Tests-28%20passing-brightgreen)

---

## 📖 Table of Contents

- [What Is This Project?](#-what-is-this-projec"
qdzlug/oxide-k3s,oxide-k3s,Deploy a K3s cluster on an oxide rack,[],31-33,Manufacturing,0.7967572212219238,"# oxide-rmt
"
z1ha0t1an/encool-warranty,encool-warranty,Encool Warranty Activation Landing Page,[],52,Finance and Insurance,0.7965274453163147,
jliao23/bird,bird,,[],71,"Arts, Entertainment, and Recreation",0.7963185906410217,"# Flappy Bird Game

A simple, fun Flappy Bird clone built with HTML5 Canvas and JavaScript. Play using just your spacebar!

## How to Play

1. Open `index.html` in your web browser
2. Press **SPACEBAR** to start the game
3. Press **SPACEBAR** to make the bird flap and fly
4. Avoid hitting the pipes or the ground
5. Try to get the highest score possible!

## Features

- Simple one-key controls (spacebar only)
- Score tracking with local best score storage
- Smooth animations and physics
- Colorfu"
citi94/diesel-decline,diesel-decline,Interactive analysis of UK diesel vehicle trends - predicting when diesel fuel demand will collapse,[],44-45,Retail Trade,0.7960097789764404,"# The Decline of Diesel

An interactive data analysis of UK diesel vehicle trends, predicting when diesel fuel demand will become unsustainable.

**Live site:** [View the analysis](https://citi94.github.io/diesel-decline/)

## Key Findings

- **Diesel sales have collapsed**: From 47% of new cars (2016) to just 5.1% (2025)
- **Fleet is shrinking**: 3.7 million fewer diesel cars than 2019
- **Diesels driven less**: 17% fewer miles than a decade ago
- **By 2035**: Diesel consumption predicted to fa"
dalmaer/collect-browser-tabs,collect-browser-tabs,A browser extension to create groups of tabs (based on URL patterns) and collect them together in one main browser window vs. being scattered.,[],51,Information,0.7958022952079773,"# Tab Collector

A Chrome extension that collects and organizes browser tabs by URL patterns into dedicated windows.

## Features

- **Group tabs by URL patterns**: Define groups with wildcard patterns (e.g., `*stitch*.withgoogle.com*`)
- **Non-invasive collection**: Only matching tabs are ever moved; non-matching tabs are never touched
- **Smart window selection**: Uses existing ""pure"" windows (containing only matching tabs) when available
- **Persistent settings**: Groups are saved and synced "
Common-Longitudinal-ICU-data-Format/clif-project-bot,clif-project-bot,automates the initiation and tracking of CLIF project runs across the federated consortium and provides ETL help,[],56,Administrative and Support Services,0.7957525253295898,"# CLIF Project Bot 🤖

A Slack-integrated bot to streamline federated CLIF project coordination across the consortium.  
This tool enables users to initiate and track each ""CLIF project run"" after releasing their code directly from Slack using a simple `/clif-run new [GITHUB_REPO]` command.

## 🔧 Core Features
- Auto-scrapes GitHub project metadata (e.g., name, description, tables required)
- Posts a summary in a designated Slack channel
- Allows sites to self-report job run status (✅, 🛠, ❌)
- Se"
lukaPlayground/walking-puzzle-game,walking-puzzle-game,운동하면서 즐기는 퍼즐 게임 만들기,[],71,"Arts, Entertainment, and Recreation",0.7957432866096497,"# 🚶‍♂️ Walking Puzzle Game (걸으면 풀리는 퍼즐)

**광고 없는 모바일 퍼즐 게임**으로, 신체 활동(걷기/달리기)과 게임을 결합하여 사용자에게 운동 동기를 부여합니다.

[![Flutter](https://img.shields.io/badge/Flutter-3.x-blue.svg)](https://flutter.dev/)
[![Dart](https://img.shields.io/badge/Dart-3.x-blue.svg)](https://dart.dev/)
[![iOS](https://img.shields.io/badge/iOS-14.0+-black.svg)](https://www.apple.com/ios/)
[![Android](https://img.shields.io/badge/Android-API%2026+-green.svg)](https://www.android.com/)

---

## 🎮 주요 기능

### 1️⃣ Water Sort Puzzle "
veyorokon/axiom,axiom,,[],52,Finance and Insurance,0.7957407236099243,"# AXIOM (spine)

Math-first runtime with:
- Journal-as-truth (append-only, sealed segments)
- RID identity freeze
- Receipts ℕ^k + reserve→settle
- Flow NF (canonicalization)
- Independence witness (slot/endpoint footprints)
- Tool contract (`invoke(ctx, inputs) -> (outputs, receipts)`)
- Registry (capabilities/tools) loader + validator
- REST (FastAPI) + CLI (Typer)

## Quick start
```bash
uv pip install -e "".[test]""  # or pip/poetry
pytest -q
uvicorn axiom.api.server:app --reload
axiom --help
"
campbellerickson/screen-copilot,screen-copilot,,[],48-49,Transportation and Warehousing,0.7957383990287781,"# 📱 Screen Time Budget

A comprehensive iOS app for tracking and managing screen time with intelligent budgeting, weekly goals, and insights.

---

## 🚀 Quick Start

### Deploy in 10 Minutes

1. **Deploy Database & Backend:**
   ```bash
   # See QUICKSTART.md for full guide
   cd backend
   npx prisma migrate deploy  # Deploy to Neon
   # Deploy to Vercel from GitHub
   ```

2. **Build for TestFlight:**
   ```bash
   open ios/ScreenTimeBudget.xcodeproj
   # Product → Archive → Upload
   ```

See"
nspilman/luminframe,luminframe,,[],51,Information,0.7957138419151306,"# Luminframe

A browser-based image editor powered by Three.js and GLSL shaders. Apply real-time visual effects and filters to your images using WebGL shaders.

![Luminframe Screenshot](public/luminframe-ui.png)

## Features

- ✨ **16 Real-time Shader Effects** - Black & white, blur, glitch, kaleidoscope, and more
- 🎨 **Adjustable Parameters** - Fine-tune each effect with intuitive controls
- 📐 **Multiple Aspect Ratios** - Square, landscape, portrait, cinematic formats
- 🖱️ **Drag & Drop Upload*"
KarezP/Portfolio-Karez,Portfolio-Karez," A responsive, multilingual portfolio built with React and Tailwind CSS. Showcases my frontend development projects with dynamic content, smooth navigation, and i18next-based translations in English and Swedish.",[],51,Information,0.7956282496452332,"
"
supercjnn/artweb,artweb,西方艺术史学习网站 - Western Art History Learning Platform,[],61,Educational Services,0.795484185218811,"# React + TypeScript + Vite

This template provides a minimal setup to get React working in Vite with HMR and some ESLint rules.

Currently, two official plugins are available:

- [@vitejs/plugin-react](https://github.com/vitejs/vite-plugin-react/blob/main/packages/plugin-react) uses [Babel](https://babeljs.io/) for Fast Refresh
- [@vitejs/plugin-react-swc](https://github.com/vitejs/vite-plugin-react/blob/main/packages/plugin-react-swc) uses [SWC](https://swc.rs/) for Fast Refresh

## Expanding "
QuantumSavory/Quantikz.jl,Quantikz.jl,A Julia package for drawing quantum circuits with the quantikz tex macros.,"[""drawing-quantum-circuits"", ""tex-macros"", ""circuit"", ""qubits"", ""quantum-computing"", ""quantum-algorithms"", ""quantum-information"", ""quantum-circuits""]",54,"Professional, Scientific, Technical Services",0.7953997850418091,"# Quantikz.jl

[![Documentation of latest stable version](https://img.shields.io/badge/docs-stable-blue.svg)](https://doc.quantumsavory.org/Quantikz.jl/stable/)
[![Documentation of dev version](https://img.shields.io/badge/docs-dev-blue.svg)](https://doc.quantumsavory.org/Quantikz.jl//dev)
[![GitHub Workflow Status](https://img.shields.io/github/actions/workflow/status/QuantumSavory/Quantikz.jl/ci.yml?branch=main)](https://github.com/QuantumSavory/Quantikz.jl/actions?query=workflow%3ACI+branch%3"
jacobsun000/talent-metrics,talent-metrics,,[],71,"Arts, Entertainment, and Recreation",0.7951712012290955,"# Gaming Talent Test Project

## 📌 Overview

This project is a **web-based application** designed to measure and train gaming-related skills. It provides a collection of scientifically inspired mini-games that assess reaction speed, visual tracking, memory, focus, and motor precision. The platform can be used by gamers, esports teams, and enthusiasts who want to benchmark and improve their performance.

---

## 🎯 Objectives

- Offer accurate, engaging, and repeatable tests for core gaming abilit"
